Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Cast Away,"Adventure ,Drama",2000,"tomhanks ,helenhunt ,chrisnoth",robertzemeckis,7.5,3304.0,21.296343,False,en,"Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo."
The Family Man,"Comedy ,Drama ,Romance ,Fantasy",2000,"nicolascage ,téaleoni ,doncheadle",brettratner,6.5,530.0,6.287072,False,en,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves."
The House of Mirth,"Drama ,Romance",2000,"gilliananderson ,danaykroyd ,eleanorbron",terencedavies,6.4,25.0,2.492547,False,en,A woman risks losing her chance of happiness with the only man she has ever loved.
Miss Congeniality,"Comedy ,Crime ,Action",2000,"sandrabullock ,benjaminbratt ,michaelcaine",donaldpetrie,6.1,987.0,9.510762,False,en,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey."
Nowhere to Hide,"Action ,Comedy ,Crime",1999,"parkjoong-hoon ,ahnsung-ki ,jangdong-gun",leemyung-se,6.8,15.0,1.375675,False,ko,"Over the next 72 days, Detective Woo will push his skills to the limits and his team of cops to the edge as they conduct a manhunt for an elusive criminal. Woo takes the law into his own hands as the hunt becomes personal, and as his target may get away."
"O Brother, Where Art Thou?","Action ,Adventure ,Comedy",2000,"georgeclooney ,johnturturro ,timblakenelson",joelcoen,7.3,1144.0,12.434175,False,en,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'."
State and Main,"Comedy ,Drama",2000,"alecbaldwin ,philipseymourhoffman ,williamh.macy",davidmamet,6.5,55.0,2.864682,False,en,"A Hollywood Film unit invades a small Vermont town leading to wholesale abandonment of values and virtue. A smart, warm and funny movie - and not just for movie buffs. Tagline: When a film crew came to Waterford, Vermont - They Shot First And Asked Questions Later."
Dracula 2000,"Thriller ,Horror",2000,"gerardbutler ,christopherplummer ,jonnyleemiller",patricklussier,4.6,150.0,6.000716000000001,False,en,"In the millenium version of this classic Gothic horror we find Abraham Van Helsing (Plummer), who has tangled with Count Dracula (Butler) in the past, working as an English antiques dealer. Simon (Miller) is a vampire hunter in training under his apprenticeship."
All the Pretty Horses,"Drama ,Romance ,Western",2000,"mattdamon ,henrythomas ,penélopecruz",billybobthornton,5.8,61.0,7.345133000000001,False,en,"The year is 1949. A young Texan named John Grady finds himself without a home after his mother sells the ranch where he has spent his entire life. Lured south of the border by the romance of cowboy life and the promise of a fresh start, Cole and his pal embark on an adventure that will test their resilience, define their maturity, and change their lives forever."
Thirteen Days,"Drama ,Thriller",2000,"kevincostner ,brucegreenwood ,stevenculp",rogerdonaldson,6.9,192.0,10.204559,False,en,"Dramatisation of the Cuban Missile Crisis, the nuclear standoff with the USSR sparked by the discovery by the Americans of missle bases established on the Soviet allied island of Cuba. Shown from the perspective of the US President, John F Kennedy, his staff and advisors."
Traffic,"Thriller ,Drama ,Crime",2000,"michaeldouglas ,beniciodeltoro ,jacobvargas",stevensoderbergh,6.9,573.0,8.338222,False,en,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle."
The Claim,"Drama ,Romance ,Western",2000,"petermullan ,millajovovich ,wesbentley",michaelwinterbottom,5.6,17.0,1.417827,False,en,"A prospector sells his wife and daughter to another gold miner for the rights to a gold mine. Twenty years later, the prospector is a wealthy man who owns much of the old west town named Kingdom Come. But changes are brewing and his past is coming back to haunt him. A surveyor and his crew scouts the town as a location for a new railroad line and a young woman suddenly appears in the town and is evidently the man's daughter."
Shadow of the Vampire,"Drama ,Horror",2000,"johnmalkovich ,willemdafoe ,udokier",e.eliasmerhige,6.6,149.0,12.691457000000002,False,en,"Director F.W. Murnau (John Malkovich) makes a Faustian pact with a vampire (Willem Dafoe) to get him to star in his 1922 film ""Nosferatu."""
House of Games,"Crime ,Drama ,Mystery ,Thriller",1987,"lindsaycrouse ,joemantegna ,mikenussbaum",davidmamet,7.0,83.0,5.524866,False,en,"A psychiatrist comes to the aid of a compulsive gambler and is led by a smooth-talking grifter into the shadowy but compelling world of stings, scams, and con men."
Annie,"Comedy ,Drama ,Family ,Music",1982,"aileenquinn ,albertfinney ,carolburnett",johnhuston,6.2,203.0,8.997507,False,en,"An orphan in a facility run by the mean Miss Hannigan, Annie believes that her parents left her there by mistake. When a rich man named Oliver ""Daddy"" Warbucks decides to let an orphan live at his home to promote his image, Annie is selected. While Annie gets accustomed to living in Warbucks' mansion, she still longs to meet her parents. So Warbucks announces a search for them and a reward, which brings out many frauds."
Don't Tell Mom the Babysitter's Dead,"Comedy ,Family",1991,"christinaapplegate ,joannacassidy ,joshcharles",stephenherek,5.8,108.0,5.402262,False,en,"Sue Ellen Crandell is a teenager eagerly awaiting her mother's summer-long absence. While the babysitter looks after her rambunctious younger siblings, Sue Ellen can party and have fun. But then the babysitter abruptly dies, leaving the Crandells short on cash. Sue Ellen finds a sweet job in fashion by lying about her age and experience on her résumé. But, while her siblings run wild, she discovers the downside of adulthood"
An Officer and a Gentleman,"Drama ,Romance",1982,"richardgere ,debrawinger ,louisgossett,jr.",taylorhackford,6.8,219.0,7.936216,False,en,"Zack Mayo is a young man who has signed up for Navy Flight School. He is a Navy brat who has a bad attitude problem. Sgt. Foley is there to train and evaluate him and will clearly find Zack wanting. Zack meets Paula, a girl who has little beyond family and must decide what it is he wants to do with his life."
The Alamo,"Action ,Adventure ,Drama ,History ,Western",1960,"johnwayne ,richardwidmark ,laurenceharvey",johnwayne,6.5,63.0,4.73816,False,en,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.
At Close Range,"Crime ,Drama",1986,"seanpenn ,christopherwalken ,marystuartmasterson",jamesfoley,6.7,67.0,10.092348,False,en,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970's. Their criminal activities ranged from burglary, theft... and ultimately, murder."
Breakheart Pass,"Thriller ,Western ,Mystery",1975,"charlesbronson ,benjohnson ,jillireland",tomgries,6.7,35.0,8.419469,False,en,"At the height of the frontier era, a train races through the Rocky Mountains on a classified mission to a remote army post. But one by one the passengers are being murdered, and their only hope is the mysterious John Deakin, who's being transported to face trial for murder."
Friendly Persuasion,"Drama ,War ,Western",1956,"garycooper ,dorothymcguire ,anthonyperkins",williamwyler,6.1,22.0,1.45833,False,en,"The story of a family of Quakers in Indiana in 1862. Their religious sect is strongly opposed to violence and war. It's not easy for them to meet the rules of their religion in everyday life but when Southern troops pass the area they are in real trouble. Should they fight, despite their peaceful attitude?"
Gettysburg,"War ,Drama ,History",1993,"jeffdaniels ,tomberenger ,martinsheen",ronaldf.maxwell,6.6,91.0,6.588347,False,en,"Summer 1863. The Confederacy pushes north into Pennsylvania. Union divisions converge to face them. The two great armies clash at Gettysburg, site of a theology school. For three days, through such legendary actions as Little Round Top and Pickett's Charge, the fate of ""one nation, indivisible"" hangs in the balance."
Imaginary Crimes,Drama,1994,"harveykeitel ,fairuzabalk ,kellylynch",anthonydrazan,3.7,3.0,0.286402,False,en,"A recently widowed, small-time hustler struggles to raise his two teenage daughters on his own and still make a dishonest living in 1950s Indiana."
Antitrust,"Action ,Crime ,Drama",2001,"ryanphillippe ,rachaelleighcook ,timrobbins",peterhowitt,5.8,156.0,8.142166,False,en,A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.
Double Take,"Adventure ,Drama ,Action ,Comedy ,Romance",2001,"orlandojones ,eddiegriffin ,garcellebeauvais",georgegallo,5.5,24.0,3.067916,False,en,"The governor of a Mexican state is assassinated. Soon after, junior executive Daryl Chase's life turns upside down: after he flags a huge transfer of funds from a Mexican account as probably illegal, he's attacked in his apartment, rescued by a CIA agent, finds his secretary shot dead, and witnesses two cops get killed. He calls the CIA guy who tells him to grab the next train to Mexico. Leaving M"
Save the Last Dance,"Drama ,Family ,Romance ,Music",2001,"juliastiles ,seanpatrickthomas ,kerrywashington",thomascarter,6.3,359.0,4.7940879999999995,False,en,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past."
